date,description,debit,credit,balance,transaction_type,reference
2026-02-01,Salary Credit - ABC Pvt Ltd,0,75000,125430,CREDIT,NEFT983421
2026-02-02,UPI Swiggy Order,420,0,125010,DEBIT,UPI332145
2026-02-03,Electricity Bill Payment,1850,0,123160,DEBIT,BILL778921
2026-02-04,Amazon Shopping,2499,0,120661,DEBIT,CARD552198
2026-02-05,ATM Cash Withdrawal,5000,0,115661,DEBIT,ATM221904
2026-02-06,UPI Uber Ride,310,0,115351,DEBIT,UPI992301
2026-02-08,Interest Credit,0,145,115496,CREDIT,INT004521
2026-02-10,Rent Transfer - Rajesh Kumar,18000,0,97496,DEBIT,NEFT665210
2026-02-11,UPI BigBasket Grocery,1320,0,96176,DEBIT,UPI102348
2026-02-13,Mobile Recharge - Airtel,719,0,95457,DEBIT,UPI452167
2026-02-15,Freelance Payment Received,0,12000,107457,CREDIT,IMPS763450
2026-02-16,SIP Investment - MF,5000,0,102457,DEBIT,NACH114589
2026-02-18,Movie Tickets - BookMyShow,650,0,101807,DEBIT,UPI881203
2026-02-20,Restaurant - BBQ Nation,2100,0,99707,DEBIT,CARD667820
2026-02-22,UPI Pharmacy Purchase,540,0,99167,DEBIT,UPI390114
2026-02-25,Internet Bill - JioFiber,999,0,98168,DEBIT,BILL310025
2026-02-27,Transfer from Friend,0,2000,100168,CREDIT,UPI771990
2026-02-28,UPI Coffee Shop,180,0,99988,DEBIT,UPI550632
