date,description,debit,credit,balance,transaction_type,reference
01/01/2025,SALARY CREDIT,0.0,54894.61,87846.61,CREDIT,TXN000001
02/01/2025,UBER RIDE,423.21,0.0,87423.4,DEBIT,TXN000002
03/01/2025,UBER RIDE,549.61,0.0,86873.79,DEBIT,TXN000003
04/01/2025,MOBILE BILL PAYMENT,597.4,0.0,86276.39,DEBIT,TXN000004
05/01/2025,PHARMACY MEDICAL,1945.14,0.0,84331.25,DEBIT,TXN000005
06/01/2025,FREELANCE CREDIT,0.0,16868.37,101199.62,CREDIT,TXN000006
09/01/2025,UPI GROCERY BIGBASKET,1610.54,0.0,99589.08,DEBIT,TXN000007
10/01/2025,SALARY CREDIT,0.0,52080.82,151669.9,CREDIT,TXN000008
15/01/2025,FUEL PAYMENT,1531.87,0.0,150138.03,DEBIT,TXN000009
19/01/2025,UPI SWIGGY FOOD,716.22,0.0,149421.81,DEBIT,TXN000010
20/01/2025,BOOKMYSHOW MOVIE,566.11,0.0,148855.7,DEBIT,TXN000011
23/01/2025,FUEL PAYMENT,2385.92,0.0,146469.78,DEBIT,TXN000012
25/01/2025,INTEREST CREDIT,0.0,426.0,146895.78,CREDIT,TXN000013
29/01/2025,UPI SWIGGY FOOD,669.66,0.0,146226.12,DEBIT,TXN000014
31/01/2025,SALARY CREDIT,0.0,85633.98,231860.1,CREDIT,TXN000015
01/02/2025,SALARY CREDIT,0.0,61883.28,77192.28,CREDIT,TXN000016
04/02/2025,BOOKMYSHOW MOVIE,832.8,0.0,76359.48,DEBIT,TXN000017
07/02/2025,ATM CASH WITHDRAWAL,2621.41,0.0,73738.07,DEBIT,TXN000018
08/02/2025,SALARY CREDIT,0.0,58078.12,131816.19,CREDIT,TXN000019
09/02/2025,ELECTRICITY BILL PAYMENT,2162.8,0.0,129653.39,DEBIT,TXN000020
10/02/2025,BOOKMYSHOW MOVIE,1141.77,0.0,128511.62,DEBIT,TXN000021
13/02/2025,INTEREST CREDIT,0.0,232.69,128744.31,CREDIT,TXN000022
16/02/2025,BOOKMYSHOW MOVIE,1112.84,0.0,127631.47,DEBIT,TXN000023
18/02/2025,METRO CARD RECHARGE,339.63,0.0,127291.84,DEBIT,TXN000024
19/02/2025,CASHBACK CREDIT,0.0,128.82,127420.66,CREDIT,TXN000025
22/02/2025,BOOKMYSHOW MOVIE,775.2,0.0,126645.46,DEBIT,TXN000026
