date,description,debit,credit,balance,transaction_type,reference
01/01/2025,SALARY CREDIT,0.0,69210.41,95729.41,CREDIT,TXN000001
05/01/2025,UPI SWIGGY FOOD,369.95,0.0,95359.46,DEBIT,TXN000002
08/01/2025,SALARY CREDIT,0.0,48338.23,143697.69,CREDIT,TXN000003
10/01/2025,UBER RIDE,580.41,0.0,143117.28,DEBIT,TXN000004
11/01/2025,INTEREST CREDIT,0.0,293.9,143411.18,CREDIT,TXN000005
13/01/2025,RENT PAYMENT,20306.55,0.0,123104.63,DEBIT,TXN000006
15/01/2025,NETFLIX SUBSCRIPTION,621.2,0.0,122483.43,DEBIT,TXN000007
16/01/2025,FUEL PAYMENT,2504.14,0.0,119979.29,DEBIT,TXN000008
17/01/2025,MOBILE BILL PAYMENT,1174.59,0.0,118804.7,DEBIT,TXN000009
18/01/2025,UPI SWIGGY FOOD,532.63,0.0,118272.07,DEBIT,TXN000010
21/01/2025,ELECTRICITY BILL PAYMENT,2581.82,0.0,115690.25,DEBIT,TXN000011
24/01/2025,RENT PAYMENT,22401.42,0.0,93288.83,DEBIT,TXN000012
25/01/2025,MOBILE BILL PAYMENT,417.77,0.0,92871.06,DEBIT,TXN000013
28/01/2025,PHARMACY MEDICAL,2097.85,0.0,90773.21,DEBIT,TXN000014
31/01/2025,RENT PAYMENT,25197.7,0.0,65575.51,DEBIT,TXN000015
01/02/2025,SALARY CREDIT,0.0,63354.51,78241.51,CREDIT,TXN000016
04/02/2025,ATM CASH WITHDRAWAL,1570.13,0.0,76671.38,DEBIT,TXN000017
05/02/2025,BOOKMYSHOW MOVIE,971.75,0.0,75699.63,DEBIT,TXN000018
09/02/2025,FUEL PAYMENT,2436.33,0.0,73263.3,DEBIT,TXN000019
11/02/2025,UPI RESTAURANT DINNER,647.7,0.0,72615.6,DEBIT,TXN000020
12/02/2025,AMAZON SHOPPING ORDER,1121.99,0.0,71493.61,DEBIT,TXN000021
14/02/2025,SALARY CREDIT,0.0,55794.43,127288.04,CREDIT,TXN000022
15/02/2025,REFUND CREDIT,0.0,1499.07,128787.11,CREDIT,TXN000023
18/02/2025,AMAZON SHOPPING ORDER,2616.97,0.0,126170.14,DEBIT,TXN000024
19/02/2025,CASHBACK CREDIT,0.0,242.9,126413.04,CREDIT,TXN000025
20/02/2025,INTEREST CREDIT,0.0,578.05,126991.09,CREDIT,TXN000026
21/02/2025,UPI GROCERY BIGBASKET,2351.22,0.0,124639.87,DEBIT,TXN000027
22/02/2025,ATM CASH WITHDRAWAL,2514.1,0.0,122125.77,DEBIT,TXN000028
24/02/2025,UPI SWIGGY FOOD,459.32,0.0,121666.45,DEBIT,TXN000029
27/02/2025,INTERNET BILL PAYMENT,1142.3,0.0,120524.15,DEBIT,TXN000030
01/03/2025,SALARY CREDIT,0.0,61587.18,75451.18,CREDIT,TXN000031
03/03/2025,INTERNET BILL PAYMENT,1201.64,0.0,74249.54,DEBIT,TXN000032
04/03/2025,REFUND CREDIT,0.0,489.81,74739.35,CREDIT,TXN000033
08/03/2025,INTEREST CREDIT,0.0,640.66,75380.01,CREDIT,TXN000034
11/03/2025,ATM CASH WITHDRAWAL,1862.79,0.0,73517.22,DEBIT,TXN000035
14/03/2025,INTERNET BILL PAYMENT,1789.18,0.0,71728.04,DEBIT,TXN000036
16/03/2025,AMAZON SHOPPING ORDER,1151.67,0.0,70576.37,DEBIT,TXN000037
18/03/2025,METRO CARD RECHARGE,587.42,0.0,69988.95,DEBIT,TXN000038
19/03/2025,CASHBACK CREDIT,0.0,65.71,70054.66,CREDIT,TXN000039
20/03/2025,ELECTRICITY BILL PAYMENT,1358.19,0.0,68696.47,DEBIT,TXN000040
21/03/2025,ATM CASH WITHDRAWAL,2932.82,0.0,65763.65,DEBIT,TXN000041
22/03/2025,FUEL PAYMENT,2469.69,0.0,63293.96,DEBIT,TXN000042
23/03/2025,FREELANCE CREDIT,0.0,10667.15,73961.11,CREDIT,TXN000043
27/03/2025,UPI GROCERY BIGBASKET,3925.26,0.0,70035.85,DEBIT,TXN000044
30/03/2025,ATM CASH WITHDRAWAL,4492.4,0.0,65543.45,DEBIT,TXN000045
01/04/2025,SALARY CREDIT,0.0,55352.74,80195.74,CREDIT,TXN000046
02/04/2025,UPI GROCERY BIGBASKET,4038.86,0.0,76156.88,DEBIT,TXN000047
04/04/2025,PHARMACY MEDICAL,1198.23,0.0,74958.65,DEBIT,TXN000048
06/04/2025,UPI GROCERY BIGBASKET,1411.32,0.0,73547.33,DEBIT,TXN000049
11/04/2025,PHARMACY MEDICAL,447.22,0.0,73100.11,DEBIT,TXN000050
12/04/2025,CASHBACK CREDIT,0.0,61.32,73161.43,CREDIT,TXN000051
13/04/2025,PHARMACY MEDICAL,1455.16,0.0,71706.27,DEBIT,TXN000052
14/04/2025,UPI GROCERY BIGBASKET,1435.42,0.0,70270.85,DEBIT,TXN000053
15/04/2025,CASHBACK CREDIT,0.0,292.71,70563.56,CREDIT,TXN000054
18/04/2025,INTERNET BILL PAYMENT,652.43,0.0,69911.13,DEBIT,TXN000055
19/04/2025,RENT PAYMENT,18375.3,0.0,51535.83,DEBIT,TXN000056
22/04/2025,METRO CARD RECHARGE,952.39,0.0,50583.44,DEBIT,TXN000057
24/04/2025,FREELANCE CREDIT,0.0,14078.19,64661.63,CREDIT,TXN000058
25/04/2025,PHARMACY MEDICAL,1779.52,0.0,62882.11,DEBIT,TXN000059
29/04/2025,FREELANCE CREDIT,0.0,11253.3,74135.41,CREDIT,TXN000060
01/05/2025,SALARY CREDIT,0.0,77595.43,108286.43,CREDIT,TXN000061
03/05/2025,FUEL PAYMENT,1613.64,0.0,106672.79,DEBIT,TXN000062
06/05/2025,CASHBACK CREDIT,0.0,305.35,106978.14,CREDIT,TXN000063
07/05/2025,PHARMACY MEDICAL,562.61,0.0,106415.53,DEBIT,TXN000064
08/05/2025,NETFLIX SUBSCRIPTION,287.41,0.0,106128.12,DEBIT,TXN000065
10/05/2025,BOOKMYSHOW MOVIE,406.48,0.0,105721.64,DEBIT,TXN000066
11/05/2025,ELECTRICITY BILL PAYMENT,3433.13,0.0,102288.51,DEBIT,TXN000067
14/05/2025,MOBILE BILL PAYMENT,850.81,0.0,101437.7,DEBIT,TXN000068
15/05/2025,UPI RESTAURANT DINNER,956.13,0.0,100481.57,DEBIT,TXN000069
16/05/2025,BOOKMYSHOW MOVIE,281.06,0.0,100200.51,DEBIT,TXN000070
18/05/2025,ELECTRICITY BILL PAYMENT,3099.31,0.0,97101.2,DEBIT,TXN000071
21/05/2025,METRO CARD RECHARGE,1117.4,0.0,95983.8,DEBIT,TXN000072
26/05/2025,FUEL PAYMENT,916.38,0.0,95067.42,DEBIT,TXN000073
28/05/2025,INTERNET BILL PAYMENT,1338.42,0.0,93729.0,DEBIT,TXN000074
30/05/2025,SALARY CREDIT,0.0,59260.65,152989.65,CREDIT,TXN000075
01/06/2025,SALARY CREDIT,0.0,66268.91,83167.91,CREDIT,TXN000076
03/06/2025,BOOKMYSHOW MOVIE,689.83,0.0,82478.08,DEBIT,TXN000077
04/06/2025,ATM CASH WITHDRAWAL,3576.88,0.0,78901.2,DEBIT,TXN000078
05/06/2025,UPI GROCERY BIGBASKET,1861.2,0.0,77040.0,DEBIT,TXN000079
09/06/2025,ELECTRICITY BILL PAYMENT,1777.35,0.0,75262.65,DEBIT,TXN000080
11/06/2025,ATM CASH WITHDRAWAL,4341.07,0.0,70921.58,DEBIT,TXN000081
15/06/2025,ELECTRICITY BILL PAYMENT,1362.43,0.0,69559.15,DEBIT,TXN000082
16/06/2025,NETFLIX SUBSCRIPTION,670.85,0.0,68888.3,DEBIT,TXN000083
18/06/2025,UPI SWIGGY FOOD,485.51,0.0,68402.79,DEBIT,TXN000084
21/06/2025,ATM CASH WITHDRAWAL,2934.41,0.0,65468.38,DEBIT,TXN000085
24/06/2025,RENT PAYMENT,16162.42,0.0,49305.96,DEBIT,TXN000086
25/06/2025,INTEREST CREDIT,0.0,247.8,49553.76,CREDIT,TXN000087
26/06/2025,UPI RESTAURANT DINNER,1491.53,0.0,48062.23,DEBIT,TXN000088
27/06/2025,INTEREST CREDIT,0.0,190.71,48252.94,CREDIT,TXN000089
30/06/2025,ELECTRICITY BILL PAYMENT,3152.42,0.0,45100.52,DEBIT,TXN000090
01/07/2025,SALARY CREDIT,0.0,73589.98,91326.98,CREDIT,TXN000091
03/07/2025,INTEREST CREDIT,0.0,614.69,91941.67,CREDIT,TXN000092
04/07/2025,FUEL PAYMENT,2129.09,0.0,89812.58,DEBIT,TXN000093
06/07/2025,PHARMACY MEDICAL,1511.46,0.0,88301.12,DEBIT,TXN000094
