date,description,debit,credit,balance,transaction_type,reference
01/01/2026,SALARY CREDIT,0.0,70242.49,94023.49,CREDIT,TXN000001
03/01/2026,REFUND CREDIT,0.0,496.64,94520.13,CREDIT,TXN000002
04/01/2026,UBER RIDE,426.41,0.0,94093.72,DEBIT,TXN000003
05/01/2026,AMAZON SHOPPING ORDER,3822.71,0.0,90271.01,DEBIT,TXN000004
07/01/2026,ELECTRICITY BILL PAYMENT,2138.72,0.0,88132.29,DEBIT,TXN000005
09/01/2026,CASHBACK CREDIT,0.0,257.13,88389.42,CREDIT,TXN000006
12/01/2026,UPI SWIGGY FOOD,548.28,0.0,87841.14,DEBIT,TXN000007
13/01/2026,BOOKMYSHOW MOVIE,1160.96,0.0,86680.18,DEBIT,TXN000008
14/01/2026,RENT PAYMENT,17416.75,0.0,69263.43,DEBIT,TXN000009
19/01/2026,INTERNET BILL PAYMENT,1541.12,0.0,67722.31,DEBIT,TXN000010
21/01/2026,ELECTRICITY BILL PAYMENT,2342.79,0.0,65379.52,DEBIT,TXN000011
22/01/2026,RENT PAYMENT,20524.47,0.0,44855.05,DEBIT,TXN000012
23/01/2026,UPI SWIGGY FOOD,770.93,0.0,44084.12,DEBIT,TXN000013
24/01/2026,FUEL PAYMENT,1529.23,0.0,42554.89,DEBIT,TXN000014
27/01/2026,PHARMACY MEDICAL,570.49,0.0,41984.4,DEBIT,TXN000015
01/02/2026,SALARY CREDIT,0.0,65415.84,85407.84,CREDIT,TXN000016
02/02/2026,UBER RIDE,389.75,0.0,85018.09,DEBIT,TXN000017
07/02/2026,UPI SWIGGY FOOD,699.22,0.0,84318.87,DEBIT,TXN000018
09/02/2026,PHARMACY MEDICAL,1622.33,0.0,82696.54,DEBIT,TXN000019
12/02/2026,CASHBACK CREDIT,0.0,80.53,82777.07,CREDIT,TXN000020
13/02/2026,FREELANCE CREDIT,0.0,11218.48,93995.55,CREDIT,TXN000021
14/02/2026,UPI RESTAURANT DINNER,804.18,0.0,93191.37,DEBIT,TXN000022
15/02/2026,CASHBACK CREDIT,0.0,339.77,93531.14,CREDIT,TXN000023
16/02/2026,MOBILE BILL PAYMENT,949.18,0.0,92581.96,DEBIT,TXN000024
19/02/2026,ELECTRICITY BILL PAYMENT,2044.76,0.0,90537.2,DEBIT,TXN000025
20/02/2026,UPI GROCERY BIGBASKET,3585.34,0.0,86951.86,DEBIT,TXN000026
21/02/2026,METRO CARD RECHARGE,1118.68,0.0,85833.18,DEBIT,TXN000027
24/02/2026,ATM CASH WITHDRAWAL,1669.74,0.0,84163.44,DEBIT,TXN000028
27/02/2026,METRO CARD RECHARGE,316.95,0.0,83846.49,DEBIT,TXN000029
28/02/2026,UPI GROCERY BIGBASKET,2585.72,0.0,81260.77,DEBIT,TXN000030
01/03/2026,SALARY CREDIT,0.0,67507.07,93211.07,CREDIT,TXN000031
07/03/2026,ELECTRICITY BILL PAYMENT,3220.76,0.0,89990.31,DEBIT,TXN000032
11/03/2026,FUEL PAYMENT,1577.12,0.0,88413.19,DEBIT,TXN000033
14/03/2026,UPI GROCERY BIGBASKET,1543.92,0.0,86869.27,DEBIT,TXN000034
15/03/2026,NETFLIX SUBSCRIPTION,502.26,0.0,86367.01,DEBIT,TXN000035
17/03/2026,ATM CASH WITHDRAWAL,3458.63,0.0,82908.38,DEBIT,TXN000036
19/03/2026,INTERNET BILL PAYMENT,1186.44,0.0,81721.94,DEBIT,TXN000037
20/03/2026,UPI SWIGGY FOOD,761.2,0.0,80960.74,DEBIT,TXN000038
22/03/2026,UPI SWIGGY FOOD,406.9,0.0,80553.84,DEBIT,TXN000039
23/03/2026,UPI GROCERY BIGBASKET,3476.44,0.0,77077.4,DEBIT,TXN000040
24/03/2026,PHARMACY MEDICAL,1743.54,0.0,75333.86,DEBIT,TXN000041
25/03/2026,UPI RESTAURANT DINNER,1223.16,0.0,74110.7,DEBIT,TXN000042
26/03/2026,NETFLIX SUBSCRIPTION,692.97,0.0,73417.73,DEBIT,TXN000043
27/03/2026,FUEL PAYMENT,2770.36,0.0,70647.37,DEBIT,TXN000044
28/03/2026,REFUND CREDIT,0.0,1729.79,72377.16,CREDIT,TXN000045
