date,description,debit,credit,balance,transaction_type,reference
01/02/2026,UPI SWIGGY FOOD,450.00,0.00,12500.00,DEBIT,TXN001
03/02/2026,ELECTRICITY BILL PAYMENT,1800.00,0.00,10700.00,DEBIT,TXN002
05/02/2026,SALARY CREDIT,0.00,50000.00,60700.00,CREDIT,TXN003
06/02/2026,UPI GROCERIES,2200.00,0.00,58500.00,DEBIT,TXN004
09/02/2026,ATM CASH WITHDRAWAL,2000.00,0.00,56500.00,DEBIT,TXN005
12/02/2026,INTEREST CREDIT,0.00,250.00,56750.00,CREDIT,TXN006
15/02/2026,RENT PAYMENT,18000.00,0.00,38750.00,DEBIT,TXN007
18/02/2026,UPI RESTAURANT,950.00,0.00,37800.00,DEBIT,TXN008
21/02/2026,FREELANCE CREDIT,0.00,12000.00,49800.00,CREDIT,TXN009
24/02/2026,ONLINE SHOPPING,3400.00,0.00,46400.00,DEBIT,TXN010
